image_id,class,xmin,ymin,xmax,ymax,image_id_str,box_area,path,width,height,x1n,y1n,x2n,y2n
0,car,194,78,273,122,00000000,3476,/Users/michaelopatola/Downloads/roadvision_ai_executed/data/Images/00000000.jpg,342,228,0.5672514619883041,0.34210526315789475,0.7982456140350878,0.5350877192982456
1,bus,205,155,568,314,00000001,57717,/Users/michaelopatola/Downloads/roadvision_ai_executed/data/Images/00000001.jpg,720,480,0.2847222222222222,0.3229166666666667,0.7888888888888889,0.6541666666666667
2,motorized_vehicle,334,362,603,479,00000002,31473,/Users/michaelopatola/Downloads/roadvision_ai_executed/data/Images/00000002.jpg,720,480,0.4638888888888889,0.7541666666666667,0.8375,0.9979166666666667
3,car,257,199,369,280,00000003,9072,/Users/michaelopatola/Downloads/roadvision_ai_executed/data/Images/00000003.jpg,720,480,0.35694444444444445,0.41458333333333336,0.5125,0.5833333333333334
4,bus,439,32,719,171,00000004,38920,/Users/michaelopatola/Downloads/roadvision_ai_executed/data/Images/00000004.jpg,720,480,0.6097222222222223,0.06666666666666667,0.9986111111111111,0.35625
5,articulated_truck,132,3,712,254,00000005,145580,/Users/michaelopatola/Downloads/roadvision_ai_executed/data/Images/00000005.jpg,720,480,0.18333333333333332,0.00625,0.9888888888888889,0.5291666666666667
6,car,22,135,136,204,00000006,7866,/Users/michaelopatola/Downloads/roadvision_ai_executed/data/Images/00000006.jpg,342,228,0.06432748538011696,0.5921052631578947,0.39766081871345027,0.8947368421052632
7,car,471,175,708,386,00000007,50007,/Users/michaelopatola/Downloads/roadvision_ai_executed/data/Images/00000007.jpg,720,480,0.6541666666666667,0.3645833333333333,0.9833333333333333,0.8041666666666667
8,pickup_truck,471,131,702,249,00000008,27258,/Users/michaelopatola/Downloads/roadvision_ai_executed/data/Images/00000008.jpg,720,480,0.6541666666666667,0.27291666666666664,0.975,0.51875
9,car,307,223,571,363,00000009,36960,/Users/michaelopatola/Downloads/roadvision_ai_executed/data/Images/00000009.jpg,720,480,0.4263888888888889,0.46458333333333335,0.7930555555555555,0.75625
10,car,147,96,238,135,00000010,3549,/Users/michaelopatola/Downloads/roadvision_ai_executed/data/Images/00000010.jpg,720,480,0.20416666666666666,0.2,0.33055555555555555,0.28125
11,car,476,148,610,206,00000011,7772,/Users/michaelopatola/Downloads/roadvision_ai_executed/data/Images/00000011.jpg,720,480,0.6611111111111111,0.30833333333333335,0.8472222222222222,0.42916666666666664
12,car,119,165,324,300,00000012,27675,/Users/michaelopatola/Downloads/roadvision_ai_executed/data/Images/00000012.jpg,720,480,0.16527777777777777,0.34375,0.45,0.625
13,car,25,318,187,436,00000013,19116,/Users/michaelopatola/Downloads/roadvision_ai_executed/data/Images/00000013.jpg,720,480,0.034722222222222224,0.6625,0.25972222222222224,0.9083333333333333
14,car,192,112,300,186,00000014,7992,/Users/michaelopatola/Downloads/roadvision_ai_executed/data/Images/00000014.jpg,342,228,0.5614035087719298,0.49122807017543857,0.8771929824561403,0.8157894736842105
15,work_van,115,79,247,154,00000015,9900,/Users/michaelopatola/Downloads/roadvision_ai_executed/data/Images/00000015.jpg,342,228,0.3362573099415205,0.34649122807017546,0.7222222222222222,0.6754385964912281
16,car,260,252,424,379,00000016,20828,/Users/michaelopatola/Downloads/roadvision_ai_executed/data/Images/00000016.jpg,720,480,0.3611111111111111,0.525,0.5888888888888889,0.7895833333333333
17,car,501,197,716,425,00000017,49020,/Users/michaelopatola/Downloads/roadvision_ai_executed/data/Images/00000017.jpg,720,480,0.6958333333333333,0.41041666666666665,0.9944444444444445,0.8854166666666666
18,car,72,76,205,159,00000018,11039,/Users/michaelopatola/Downloads/roadvision_ai_executed/data/Images/00000018.jpg,720,480,0.1,0.15833333333333333,0.2847222222222222,0.33125
19,bus,230,127,493,275,00000019,38924,/Users/michaelopatola/Downloads/roadvision_ai_executed/data/Images/00000019.jpg,720,480,0.3194444444444444,0.26458333333333334,0.6847222222222222,0.5729166666666666
